fileID,adl,subject,session,original_duration,trimmed_duration,percent_removed,reduced_50_percent
173,1,1978,4,4.2,4.08,2.857142857142857,False
174,1,1978,5,3.24,1.8,44.44444444444444,False
175,1,2045,1,7.4,3.04,58.91891891891892,True
176,1,2045,2,3.77,2.58,31.56498673740053,False
177,1,2045,3,3.53,2.22,37.110481586402265,False
178,1,2045,4,3.03,1.74,42.57425742574257,False
179,1,2045,5,5.8,2.32,60.0,True
180,1,2056,1,9.22,2.66,71.14967462039046,True
181,1,2056,2,10.61,3.08,70.97078228086711,True
182,1,2056,3,10.6,3.22,69.62264150943396,True
183,1,2056,4,10.31,3.48,66.24636275460718,True
184,1,2056,5,10.3,3.34,67.57281553398059,True
190,1,2115,1,13.84,6.02,56.50289017341041,True
191,1,2115,2,12.69,6.16,51.457840819542945,True
192,1,2115,3,13.33,9.4,29.482370592648163,False
193,1,2115,4,13.48,6.6,51.038575667655785,True
194,1,2115,5,13.64,5.44,60.117302052785924,True
195,1,2116,1,4.29,2.78,35.1981351981352,False
196,1,2116,2,5.32,4.66,12.406015037593985,False
197,1,2116,3,4.37,4.22,3.4324942791762014,False
198,1,2116,4,4.8,4.42,7.916666666666667,False
199,1,2116,5,5.8,4.2,27.586206896551722,False
200,1,2136,1,9.13,5.62,38.444687842278206,False
201,1,2136,2,6.83,5.3,22.40117130307467,False
202,1,2136,3,6.42,5.02,21.806853582554517,False
203,1,2136,4,6.2,4.82,22.258064516129032,False
204,1,2136,5,7.7,6.08,21.038961038961038,False
205,1,2155,1,7.1,6.46,9.014084507042254,False
206,1,2155,2,7.47,6.76,9.504685408299865,False
207,1,2155,3,6.55,4.1,37.404580152671755,False
208,1,2155,4,5.53,5.28,4.520795660036167,False
209,1,2155,5,7.47,6.68,10.575635876840696,False
210,1,2159,1,8.98,7.64,14.922048997772828,False
211,1,2159,2,8.94,7.78,12.975391498881432,False
212,1,2159,3,9.45,8.48,10.264550264550264,False
213,1,2159,4,9.95,8.92,10.35175879396985,False
214,1,2159,5,9.71,8.4,13.49124613800206,False
215,1,2160,1,5.52,3.06,44.56521739130435,False
216,1,2160,2,5.7,1.72,69.82456140350877,True
217,1,2160,3,5.86,4.26,27.303754266211605,False
218,1,2160,4,6.43,5.56,13.530326594090202,False
219,1,2160,5,6.34,5.26,17.034700315457414,False
220,10,0,1,5.33,2.7,49.34333958724203,False
221,10,0,2,8.58,5.48,36.13053613053613,False
222,10,0,3,7.19,5.38,25.17385257301808,False
223,10,0,4,9.42,7.4,21.443736730360936,False
224,10,0,5,8.01,5.66,29.33832709113608,False
225,10,1125,1,6.06,3.88,35.973597359735976,False
226,10,1125,2,6.06,5.54,8.58085808580858,False
227,10,1125,3,5.62,1.8,67.97153024911032,True
228,10,1279,1,3.2,3.2,0.0,False
231,10,1313,1,6.49,4.06,37.442218798151,False
232,10,1313,2,4.85,2.84,41.44329896907217,False
233,10,1313,3,5.08,2.68,47.24409448818898,False
234,10,1324,1,7.01,3.28,53.20970042796006,True
235,10,1324,2,5.3,2.82,46.79245283018868,False
236,10,1324,3,4.87,2.42,50.30800821355236,True
237,10,1358,1,3.24,1.82,43.82716049382716,False
238,10,1358,2,5.22,3.08,40.99616858237548,False
239,10,1358,3,4.33,2.38,45.03464203233256,False
240,10,1390,1,4.07,1.34,67.07616707616708,True
241,10,1390,2,5.52,1.96,64.4927536231884,True
242,10,1390,3,6.68,2.9,56.58682634730539,True
243,10,1396,1,1.81,1.81,0.0,False
244,10,1396,2,2.31,1.06,54.112554112554115,True
245,10,1396,3,3.11,2.04,34.40514469453376,False
246,10,1405,1,13.22,6.9,47.806354009077154,False
247,10,1405,2,13.85,5.48,60.43321299638989,True
248,10,1405,3,19.12,7.7,59.72803347280335,True
249,10,1435,1,3.53,1.82,48.44192634560906,False
250,10,1435,2,4.01,2.36,41.14713216957606,False
251,10,1435,3,3.68,1.56,57.608695652173914,True
252,10,1453,1,3.53,1.82,48.44192634560906,False
253,10,1453,2,4.01,2.36,41.14713216957606,False
254,10,1453,3,3.68,1.56,57.608695652173914,True
255,10,1505,1,3.3,1.06,67.87878787878788,True
256,10,1505,2,2.4,2.4,0.0,False
257,10,1505,3,2.34,2.34,0.0,False
258,10,1570,1,5.43,3.68,32.22836095764273,False
259,10,1570,2,5.78,4.18,27.68166089965398,False
260,10,1570,3,5.64,3.9,30.851063829787233,False
261,10,1697,1,5.61,2.36,57.93226381461675,True
262,10,1697,2,6.81,4.08,40.08810572687225,False
263,10,1697,3,6.12,3.58,41.50326797385621,False
264,10,1735,1,4.55,3.52,22.63736263736264,False
265,10,1735,2,3.66,3.0,18.0327868852459,False
266,10,1735,3,3.55,1.68,52.67605633802817,True
267,10,1751,1,16.91,8.84,47.72324068598463,False
268,10,1751,2,18.11,7.92,56.26725565985643,True
269,10,1751,3,17.42,8.46,51.43513203214696,True
270,10,1777,1,4.8,2.46,48.75,False
271,10,1777,2,4.61,1.9,58.78524945770065,True
272,10,1777,3,5.54,2.58,53.42960288808664,True
273,10,1803,1,3.95,3.95,0.0,False
274,10,1803,2,5.16,3.5,32.17054263565891,False
275,10,1803,3,4.85,4.85,0.0,False
276,10,1825,1,8.72,5.84,33.027522935779814,False
277,10,1825,2,12.27,9.18,25.183374083129586,False
